State,Latitude,Longitude,Date,SWE,Precipitation,Cumulative_Precipitation,Max_Temp,Min_Temp,site_id,distance
AK,63.2,-145.63,16897.0,231.0,0.0,284.0,6.2,-2.6,1268,0.09999999999998863
AK,63.2,-145.63,16896.0,231.0,0.0,284.0,5.9,-9.7,1268,0.09999999999998863
AK,63.94,-145.4,16903.0,0.0,0.0,81.0,15.1,-5.5,963,0.8139410298049836
AK,63.94,-145.4,16902.0,0.0,0.0,81.0,15.8,-2.2,963,0.8139410298049836
AK,63.94,-145.4,16901.0,0.0,0.0,81.0,14.1,4.6,963,0.8139410298049836
AK,63.94,-145.4,16900.0,20.0,0.0,81.0,15.9,-2.5,963,0.8139410298049836
AK,63.94,-145.4,16899.0,28.0,0.0,81.0,10.8,-1.8,963,0.8139410298049836
AK,63.94,-145.4,16898.0,30.0,0.0,81.0,8.8,-7.3,963,0.8139410298049836
AK,63.94,-145.4,16897.0,38.0,3.0,79.0,14.2,-2.9,963,0.8139410298049836
AK,63.94,-145.4,16896.0,46.0,0.0,79.0,13.2,-3.0,963,0.8139410298049836
AK,63.2,-145.63,16895.0,231.0,0.0,284.0,4.4,-15.1,1268,0.09999999999998863
AK,63.2,-145.63,16894.0,231.0,0.0,284.0,2.5,-12.6,1268,0.09999999999998863
AK,63.2,-145.63,16893.0,231.0,0.0,284.0,4.3,-2.2,1268,0.09999999999998863
AK,63.2,-145.63,16892.0,231.0,0.0,284.0,6.8,0.4,1268,0.09999999999998863
AK,63.2,-145.63,16891.0,231.0,0.0,284.0,7.6,-1.4,1268,0.09999999999998863
AK,63.2,-145.63,16890.0,229.0,3.0,282.0,5.6,1.4,1268,0.09999999999998863
AK,63.2,-145.63,16889.0,226.0,3.0,279.0,7.0,0.7,1268,0.09999999999998863
AK,63.2,-145.63,16888.0,196.0,25.0,254.0,2.6,-1.4,1268,0.09999999999998863
AK,63.94,-145.4,16895.0,51.0,0.0,79.0,12.1,-8.5,963,0.8139410298049836
AK,63.94,-145.4,16894.0,53.0,0.0,79.0,10.1,-4.3,963,0.8139410298049836
AK,63.94,-145.4,16893.0,61.0,0.0,79.0,12.6,-1.8,963,0.8139410298049836
AK,63.94,-145.4,16892.0,79.0,0.0,79.0,12.8,-1.2,963,0.8139410298049836
AK,63.94,-145.4,16891.0,79.0,0.0,79.0,15.7,-2.9,963,0.8139410298049836
AK,63.94,-145.4,16890.0,79.0,0.0,79.0,14.4,-1.9,963,0.8139410298049836
AK,63.94,-145.4,16889.0,79.0,0.0,79.0,4.9,-2.5,963,0.8139410298049836
AK,63.94,-145.4,16888.0,79.0,0.0,79.0,9.9,-1.1,963,0.8139410298049836
AK,61.08,-146.3,16859.0,--,8.0,991.0,6.5,0.7,1095,0.6351377803280145
AK,61.08,-146.3,16858.0,--,0.0,991.0,5.2,1.1,1095,0.6351377803280145
AK,61.08,-146.3,16857.0,--,0.0,991.0,6.5,-0.5,1095,0.6351377803280145
AK,61.08,-146.3,16856.0,--,13.0,978.0,5.2,-0.9,1095,0.6351377803280145
AK,61.08,-146.3,16855.0,--,3.0,975.0,5.8,0.6,1095,0.6351377803280145
AK,61.08,-146.3,16854.0,--,15.0,960.0,2.7,-1.4,1095,0.6351377803280145
AK,61.08,-146.3,16853.0,--,8.0,952.0,1.9,0.3,1095,0.6351377803280145
AK,61.08,-146.3,16852.0,--,8.0,945.0,4.1,0.7,1095,0.6351377803280145
AK,61.11,-149.67,16817.0,114.0,0.0,196.0,2.2,-5.0,1070,0.7653757247260882
AK,61.11,-149.67,16816.0,114.0,0.0,196.0,-2.2,-9.7,1070,0.7653757247260882
AK,61.11,-149.67,16815.0,114.0,0.0,196.0,-2.7,-9.8,1070,0.7653757247260882
AK,61.11,-149.67,16814.0,114.0,0.0,196.0,-2.6,-10.4,1070,0.7653757247260882
AK,61.11,-149.67,16813.0,109.0,8.0,188.0,-2.2,-3.7,1070,0.7653757247260882
AK,61.11,-149.67,16812.0,107.0,3.0,185.0,0.8,-2.7,1070,0.7653757247260882
AK,61.11,-149.67,16811.0,107.0,0.0,185.0,4.4,-1.7,1070,0.7653757247260882
AK,61.11,-149.67,16810.0,107.0,0.0,185.0,2.7,-1.6,1070,0.7653757247260882
AK,61.38,-149.0,16817.0,91.0,0.0,135.0,4.5,-1.4,1035,0.5000000000000057
AK,61.38,-149.0,16816.0,91.0,0.0,135.0,4.1,-7.3,1035,0.5000000000000057
AK,61.38,-149.0,16815.0,91.0,0.0,135.0,-4.5,-6.9,1035,0.5000000000000057
AK,61.38,-149.0,16814.0,91.0,0.0,135.0,-3.0,-6.7,1035,0.5000000000000057
